Street#,Dir,Street,Type_,Post Dir,Loc,Zip,Council,Neighborhood,Referred,Down & Clear
4216,E,Indian,Trl,,Entire,,,,,2/12/2009
3009,,Greenwood,Ave,,Entire,,,,,2/19/2009
1630,,Wilson,Ave,,Entire,,,,,2/24/2009
2729,,Algonquin,Pkwy,,Entire,,,,,3/3/2009
1747,W,Oak,St,,Entire,,,,,3/4/2009
2023,,Woodland,Ave,,Entire,,,,,3/5/2009
419,,South Park,Rd,,Garage,,,,,3/10/2009
241,S,39th,St,,Entire,,,,,3/17/2009
2728,W,Chestnut,St,,Entire,,,,,3/30/2009
4314,,Shepherdsville,Rd,,Entire,,,,,4/6/2009
2627,,St Xavier,St,,Entire,,,,,4/7/2009
208,N,22nd,St,,Entire,,,,,4/15/2009
1406,,Paul,Ave,,Garage,,,,,4/15/2009
4104,,Blevins Gap,Rd,,Entire,,,,,4/20/2009
1334,S,20th,St,,Entire,,,,,4/23/2009
1779,W,Ormsby,Ave,,Entire,,,,,4/24/2009
10004,,Brownsboro,Road,,Entire,,,,,5/6/2009
10006,,Brownsboro,Road,,Entire,,,,,5/6/2009
2737,,Algonquin,Pkwy,,Entire,,,,,5/13/2009
650,S,27th,St,,Rear Addition,,,,,5/19/2009
2412,,Cornwall ,St,,Entire,,,,,5/19/2009
2002,W ,Jefferson,St,,Rear Addition,,,,,5/20/2009
845,S,23rd,St,,Entire,,,,,5/29/2009
3804,,Miami,Ave,,Entire,,,,,5/30/2009
2121,W,Chestnut,St,,Entire,,,,,6/5/2009
2020,W,Market,St,,Entire,,,,,6/9/2009
830,,Dresden,Ave,,Entire,,,,,6/17/2009
2327,,Montgomery,St,,Entire,,,,,6/17/2009
1104,S,17th,St,,Entire,,,,,6/22/2009
8307,,Olive Hill,Ct,,Entire,,,,,6/22/2009
2234,W ,Muhammad Ali,Blvd,,Entire,,,,,6/25/2009
4110,,Camp Ground ,Road,,Entire,,,,,6/30/2009
2427,W,Chestnut,St,,Entire,,,,,7/16/2009
610,,Camp,St,,Entire,,,,,7/21/2009
6702,,Putman,St,,Entire,,,,,7/23/2009
714,E,Oak,St,,Entire,,,,,7/30/2009
6901,,Sylvania No 4,Rd,,Entire,,,,,8/6/2009
223,N,21st,St,,Entire,,,,,8/10/2009
5313,,Alba,Way,,Entire,,,,,8/13/2009
2101,,Grand,Ave,,Entire,,,,,8/19/2009
1504,,Catalpa,St,,Entire,,,,,8/25/2009
2201,,Duncan,St,,Entire,,,,,8/25/2009
849,S,23rd,St,,Entire,,,,,8/26/2009
3327,W,Kentucky,St,,Garage,,,,,8/27/2009
2647,,Algonquin,Pkwy,,Garage,,,,,8/31/2009
3526,,Herman,St,,Entire,,,,,9/4/2009
3620,,Herman,St,,Entire,,,,,9/4/2009
1838,,Lytle ,St,,Entire,,,,,9/11/2009
2026,,Rowan,St,,Entire,,,,,9/14/2009
6,,Grand Avenue,Ct,,Entire,,,,,9/16/2009
1343,S,26th,St,,Entire,,,,,9/18/2009
402,S,20th,St,,Entire,,,,,10/1/2009
246,S,41st,St,,Garage,,,,,10/1/2009
719,,Oldham,St,,Entire,,,,,10/6/2009
1511,,Maple,St,,Entire,,,,,10/9/2009
1378,,Dixie,Hwy,,Entire,,,,,10/12/2009
1723,W,Gaulbert,Ave,,Entire,,,,,10/19/2009
328,N,21st,St,,Entire,,,,,10/21/2009
680,S,38th,St,,Garage,40211,5,Shawnee,,10/22/2009
2525,,Slevin,St,,Entire,,,,,10/28/2009
725,S,24TH,St,,Entire,,,,,10/29/2009
4943,,Graston,Ave,,Entire,,,,,11/13/2009
3215,,Verna,Rd,,Garage,,,,,11/13/2009
1607,W,Kentucky,St,,Entire,,,,,11/17/2009
1725,W,Kentucky,St,,Entire,,,,,12/1/2009
2816,S,6th,St,,Entire,,,,,12/4/2009
1755,,Dumesnil,St,,Entire,,,,,12/12/2009
325,S,Jane,St,,Entire,,,,,12/14/2009
2530,,Duncan,St,,Entire,,,,,12/15/2009
2607,W,Muhammad Ali,Blvd,,Entire,,,,,12/21/2009
1455,,Dixie,Hwy,,Entire,,,,,1/8/2010
1721,W,Market,St,,Entire,,,,,1/19/2010
1509,,Anderson,St,,Entire,,,,,1/29/2010
2516,,Wilson,Ave,,Entire,,,,,1/29/2010
446,N,24th,St,,Entire,,,,,2/1/2010
2731,W,Madison,St,,Entire,,,,,2/4/2010
8602,,Canopus,Pl,,Entire,,,,,2/8/2010
2720,W,Madison,St,,Entire,,,,,2/11/2010
223,S,26th,St,,Entire,,,,,2/23/2010
1610,,Dumesnil,St,,Entire,,,,,2/25/2010
4121,W,Broadway,,,Garage,,,,,3/1/2010
1814,,Crop,St,,Entire,,,,,3/1/2010
2528,,Gilligan,St,,Entire,,,,,3/1/2010
3413,,Grand,Ave,,Entire,,,,,3/1/2010
2237,W,Muhammad Ali,Blvd,,Entire,,,,,3/3/2010
10200,,Ballardsville,Rd,,Entire,,,,,3/8/2010
2527,,Duncan,St ,,Entire,,,,,3/8/2010
1525,,Rowan,St,,Entire,,,,,3/8/2010
2611,W,Muhammad Ali,Blvd,,Garage,,,,,3/16/2010
419,,27th,St,,Entire,,,,,3/17/2010
2539,,Rowan,St,,Entire,,,,,3/17/2010
3026,,Wyandotte,Ave,,Entire,,,,,3/17/2010
863,S,24th ,St,,Entire,,,,,3/22/2010
716,S,45th,St,,Garage,,,,,3/23/2010
2903,,Bank,St,,Entire,,,,,4/2/2010
3800,,Cane Run,Rd,,Entire,,,,,4/13/2010
933,E,Muhammad Ali,Blvd,,Entire,,,,,4/13/2010
424,S,24th,St,,Entire,,,,,4/20/2010
1818,,Crop,St,,Entire,,,,,4/27/2010
713,E,Ormsby,Ave,,Entire,,,,,5/1/2010
546,,Rawlings,St,,Entire,,,,,5/7/2010
607,S,Campbell,St,,Entire,,,,,5/10/2010
13300,,Horncastle,Way,,Entire,,,,,5/12/2010
3405,,Greenwood,Ave,,Entire,,,,,5/13/2010
616,,Jordan,Ave,,Entire,,,,,5/13/2010
547,,Rawlings,St,,Entire,,,,,5/17/2010
1714,,Columbia,St,,Entire,,,,,5/18/2010
672,S,26th,St,,Garage,,,,,5/19/2010
1454,S,8th,St,,Entire,,,,,5/20/2010
1730,S,23rd,St,,Entire,,,,,5/24/2010
213,N,17th,St,,Entire,,,,,5/26/2010
2112,,Pirtle,St,,Entire,,,,,6/3/2010
209,N,24th,St,,Entire,,,,,6/4/2010
343,N,26th,St,,Garage,40212,3,Portland,,6/4/2010
104,S,33rd,Sr,,Garage,,,,,6/4/2010
2703,W,Muhammad Ali,Blvd,,Entire,,,,,6/15/2010
5309,,Cedrus,Circle,,Entire,,,,,7/2/2010
1704,,St Louis,Ave,,Entire,,,,,7/12/2010
2730,,Main ,St,,Entire,,,,,7/20/2010
432,S,29th,St,,Entire,,,,,7/23/2010
3238,W ,Jefferson,St,,Entire,,,,,7/23/2010
405,n,39th,St,,Garage,,,,,7/26/2010
5315,,Alba,Way,,Entire,,,,,7/30/2010
4002,E,Indian,Trl,,Entire,,,,,8/10/2010
4151,S,5th ,St,,Entire,,,,,8/12/2010
2214,W,Madison,St,,Entire,,,,,8/16/2010
1509,,Hemlock ,St,,Entire,,,,,8/17/2010
1511,,Hemlock ,St,,Entire,,,,,8/17/2010
2319,,Portland,Ave,,Rear,,,,,8/18/2010
5018,,Delaware ,St,,Entire,,,,,8/30/2010
810,,Mount Holly,Dr,,Entire,,,,,8/31/2010
317,S,43rd,St,,Entire,,,,,9/9/2010
106,,Boston,Ct,,Entire,,,,,9/9/2010
2333,,Rowan,St,,Entire,,,,,9/20/2010
2006,,Main ,St,,Entire,,,,,9/21/2010
2429,,Slevin,St,,Entire,,,,,9/27/2010
1401,,Story,Ave,,Entire,,,,,10/5/2010
2928,,Portland,Ave,,Entire,,,,,10/7/2010
2233,W,Kentucky,St,,Entire,,,,,10/11/2010
828,S,Louis Coleman Jr ,St,,Garage,,,,,10/12/2010
2312,,Standard ,Ave,,Entire,,,,,10/13/2010
433,S,24th,St,,Entire,,,,,10/18/2010
1713,,Bolling,Ave,,Garage,,,,,10/18/2010
2700,,Greenwood,Ave,,Garage,,,,,10/18/2010
2919,,Virginia,Ave,,Entire,,,,,10/18/2010
4509,,Cod ,Dr,,Entire,,,,,10/19/2010
1731,W,Hill,St,,Garage,,,,,10/25/2010
9911,,Lochwick,Way,,Entire,,,,,11/8/2010
3709,,Marvin,Ave,,Entire,,,,,11/8/2010
7630,,St Andrews Church,Rd,,Entire,,,,,11/9/2010
9,,Grand Avenue,Ct,,Entire,,,,,11/10/2010
530,,Lampton,St,,Entire,,,,,11/10/2010
2721,,Bank,St,,Entire,,,,,11/11/2010
2805,,New High ,St,,Entire,,,,,11/11/2010
1724,,Gallagher,St,,Entire,,,,,11/12/2010
108,N,17th ,St,,Entire,,,,,11/15/2010
1707,W,Market ,St,,Entire,,,,,11/15/2010
540,,Lampton,St,,Entire,,,,,11/22/2010
2216,,Garfield,Ave,,Entire,,,,,12/6/2010
1801,,Beech,St,,Entire,,,,,12/9/2010
2121,,Bank,St,,Entire,,,,,12/15/2010
3526,,Powell,Ave,,Entire,,,,,12/21/2010
2347,W,Madison,St,,Entire,,,,,12/28/2010
1812,,Columbia,St,,Entire,,,,,12/30/2010
6,,Creekside ,Ct,,Entire,,,,,1/13/2011
1521,,Hale,Ave,,Entire,,,,,1/18/2011
3809,,Parthenia ,Ave,,Entire,,,,,1/31/2011
2009,,Main ,St,,Entire,,,,,2/1/2011
1818,W,Market,St,,Entire,,,,,2/14/2011
2719,,Bank,St,,Entire,,,,,2/16/2011
3805,,Dixie,Hwy,,Entire,,,,,2/28/2011
612,N,17th ,St,,Entire,,,,,3/2/2011
2804,,Cleveland,Ave,,Entire,,,,,3/4/2011
3802,,Miami,Ave,,Entire,,,,,3/4/2011
203,E,Adair,St,,Entire,,,,,3/7/2011
1778,,Dumesnil,St,,Entire,40210,6,Park Hill,,3/25/2011
606,,Camp,St,,Entire,,,,,3/31/2011
526,,Eastern ,Pkwy,,Entire,,,,,3/31/2011
3413,,Bells,Lane,,Entire,,,,,4/11/2011
2727,,Magazine,St,,Entire,,,,,4/11/2011
3619,,Penway,Ave,,Entire,,,,,4/12/2011
4105,,Wilshire ,Ave,,Entire,,,,,4/13/2011
410,,Evergreen,Rd,,Entire,,,,,4/19/2011
636,S,18th,St,,Entire,,,,,4/29/2011
1141,S,8th,St,,Entire,,,,,4/29/2011
3019,,Greenwood,Ave,,Entire,,,,,5/3/2011
727,W,Whitney ,Ave,,Entire,,,,,5/9/2011
317,S,18th,St,,Entire,40203,4,Russell,,5/11/2011
957,,Waterbury,St,,Entire,,,,,5/16/2011
3314,W,Kentucky,St,,Entire,,,,,5/18/2011
2230,,Hale,Ave,,Entire,,,,,5/31/2011
915,S,Hancock,St,,Entire,,,,,5/31/2011
2141,,Belquin,Rd,,Entire,,,,,6/13/2011
315,,Fairmont ,Ave,,Entire,,,,,6/14/2011
7014,,Daisy,Ave,,Entire,,,,,6/23/2011
2621,S,5th ,St,,Entire,,,,,6/28/2011
7017,,Kentucky,Ave,,Entire,,,,,6/29/2011
2233,W,Chestnut,St,,Entire,,,,,6/30/2011
2235,W,Chestnut,St,,Entire,,,,,6/30/2011
2233-2235,W,Chestnut,St,,Entire,40211,4,Russell,,6/30/2011
3911,,Schmitt,Rd,,Entire,,,,,6/30/2011
2314,,Wilson,Ave,,Entire,,,,,7/15/2011
3143,,Vermont,Ave,,Entire,,,,,7/25/2011
2623,,St Xavier,St,,Entire,,,,,8/4/2011
732,S,35th,St,,Entire,,,,,8/15/2011
1927,,Frankfort,Ave,,Entire,,,,,8/15/2011
1260,S,Shelby,St,,Entire,,,,,8/19/2011
1758,,Algonquin ,Pky,,Garage,,,,,8/26/2011
1533,S,31st,St,,Entire,40211,3,Park Duvalle,,9/8/2011
2313,S,37th,St,,Entire,,,,,9/8/2011
514,,Wenzel,St,,Entire,,,,,9/8/2011
2209,W,Kentucky,St,,Entire,,,,,10/3/2011
520,E,Breckinridge,St,,Entire,,,,,10/7/2011
744,,Brent,St,,Entire,,,,,10/13/2011
2522,W,Muhammad Ali,Blvd,,Entire,,,,,10/19/2011
8920,,Beulah Church,Rd,,Entire,,,,,10/31/2011
819,E ,Burnett,Ave,,Entire,,10,,,11/4/2011
2128,,Date,St,,Entire,,,,,11/10/2011
650,S,27th ,St,,Entire,,5,,,11/23/2011
1519,,Hale,Ave,,Entire,,,,,11/23/2011
829,S,Louis Coleman Jr ,Dr,,Entire,,1,,,11/23/2011
1017-1019,S,Louis Coleman Jr ,Dr,,Entire,,1,,,11/23/2011
1225,,Cypress,St,,Entire,,,,,12/14/2011
2209,W,Burnett,Ave,,Entire,,,,,1/3/2012
1743,,St Louis,Ave,,Entire,,6,,,1/3/2012
1218,,Central ,Ave,,Garage,,,,,1/6/2012
3048,W,Muhammad Ali,Blvd,,Entire,,,,,1/10/2012
2709,W,Chestnut,St,,Entire,,5,,,1/17/2012
1727,,Hale,Ave,,Garage,,,,,1/23/2012
1430,,Hemlock,St,,Entire,,,,,1/25/2012
531,S,18th,St,,Entire,40204,4,Russell,,2/6/2012
643,S,23rd,St,,Entire,40211,6,Russell,,2/6/2012
1927,W,Chestnut,St,,Entire,,,,,2/6/2012
436,,Dr WJ Hodge,St,,Entire,,,,,2/6/2012
436,,Dr WJ Hodge,St,,Entire,40203,4,Russell,,2/6/2012
2230,,St. Xavier,St,,Entire,,5,,,2/6/2012
311,N,40th,St,,Entire,40212,5,Shawnee,,2/8/2012
4524,,Lake Dreamland,Rd,,Entire,,1,,,2/10/2012
2331,W,Chestnut,St,,Garage,,4,,,2/13/2012
2232,,Kaelin,Ave,,Garage,,8,,,2/23/2012
2100,,Bolling,Ave,,Entire,,3,,,2/27/2012
1132,,Samuel,St,,Entire,,1,,,2/28/2012
1419,S,28th,St,,Entire,,1,,,2/29/2012
4227,,Fordson,Way,,Garage,,1,,,3/7/2012
4402,,Lees,Lane,,Entire,,1,,,3/12/2012
662,S,36th ,St,,Entire,,5,,,3/13/2012
3707,,Ethel,Ave,,Entire,,10,,,3/13/2012
2613,,Northwestern,Pky,,Entire,,5,,,3/13/2012
2320,,Plymouth ,Ct,,Entire,,4,,,3/13/2012
2310,,Elmore,St,,Entire,,12,,,3/16/2012
227,N,19th,St,,Entire,,5,,,3/23/2012
229,N,19th,St,,Entire,,5,,,3/23/2012
1706,,Bolling,Ave,,Garage,,3,,,3/23/2012
9604,,El Prado,St,,Entire,,25,,,3/23/2012
3502,,College,Dr,,Entire,,20,,,3/26/2012
1551-1555,S,10th,St,,Entire,,6,,,4/4/2012
2139,,Rowan ,St,,Entire,,5,,,4/4/2012
713,,Lampton,St,,Entire,,4,,,4/30/2012
3721,,Parker,Ave,,Entire,,5,,,5/14/2012
2302,W,Madison,St,,Entire,,4,,,5/21/2012
2011,,Rowan,St,,Entire,,5,,,5/23/2012
2820,S,4th,St,,Entire,,15,,,6/22/2012
4607,,Lake Dreamland,Rd,,Entire,,1,,,6/28/2012
2320,,Columbia,St,,Entire,,4,,,6/29/2012
3810,,Northumberland,Dr,,Garage,,17,,,6/29/2012
1732,W,Oak,St,,Entire,,6,,,6/29/2012
1734,W,Oak,St,,Entire,,6,,,6/29/2012
13000,,Scotts Gap,Rd,,Entire,,14,,,6/29/2012
3314,W,Main,St,,Entire,,5,,,7/6/2012
1532,S,31st,St,,Entire,,3,,,7/30/2012
447,S,32nd,St,,Garage,,5,,,7/30/2012
3409,W,Kentucky,St,,Entire,,1,,,7/30/2012
7112,,Bunger,Ave,,Entire,,14,,,8/8/2012
4408,,Exley ,Ct,,Entire,,1,,,8/8/2012
4413,,Exley ,Ct,,Entire,,1,,,8/8/2012
3217,,Kemmons,Dr,,Entire,,,,,8/23/2012
3219,,Kemmons,Dr,,Entire,,,,,8/23/2012
3228,,Kirby,Ave,,Entire,,1,,,8/28/2012
2225,,Woodland,Ave,,Entire,,6,,,9/10/2012
1755,W,Ormsby,St,,Entire,,6,,,9/12/2012
2722,,Rodman,St,,Entire,,6,,,9/17/2012
951,E,Oak,St,,Entire,,4,,,9/20/2012
425,S,28th,St,,Entire,40212,5,Russell,,9/25/2012
1557,S,7th,St,,Garage,,6,,,9/27/2012
2539,,Duncan,St,,Entire,,5,,,10/11/2012
2706,,Slevin,St,,Entire,,5,,,10/22/2012
2708,,Slevin,St,,Entire,,5,,,10/22/2012
202,N,39th,St,,Entire,,3,,,10/25/2012
2814,,Duncan,St,,Entire,,5,,,10/26/2012
6609,,Melrose,Ave,,Entire,,1,,,10/26/2012
1774,W,Ormsby,Ave,,Entire,40210,6,Park Hill,,11/8/2012
1815,,Bank,St,,Entire,40203,5,Portland,,11/14/2012
1852-1854,,Portland,Ave,,Entire,,5,,,11/19/2012
526,,Zane,St,,Entire,,6,,,12/5/2012
828,S,41st,St,,Entire,,5,,,12/12/2012
1635,,Dixdale,Ave,,Garage,,3,,,12/19/2012
2000,,Portland,Ave,,Entire,,5,,,12/20/2012
930,S,Shelby,St,,Entire,,4,,,12/21/2012
3809,,Dixie,Hwy,,Entire,,3,,,12/26/2012
2819,,Virginia,Ave,,Entire,,1,,,1/7/2013
3225,,Virginia,Ave,,Entire,,1,,,1/7/2013
4138,,Broadway,,,Entire,,1,,,1/18/2013
1638,,Gallagher,St,,Entire,,6,,,1/22/2013
3313,,Hale,Ave,,Entire,,1,,,1/22/2013
3806,,Broadway,,,Garage,,5,,,1/23/2013
4336,S,3rd,St,,Entire,,15,,,1/25/2013
1953,S,16th,St,,Entire,,6,,,1/28/2013
1232,,Algonquin ,Pky,,Entire,,3,,,1/30/2013
1840,W,Kentucky,St,,Porch Roof,,6,,,1/30/2013
2020,,Wilson,Ave,,Entire,,6,,,1/30/2013
6212,,Mockingbird,Lane,,Entire,,14,,,2/5/2013
1955,S,16th,St,,Entire,,6,,,2/6/2013
125,,Boston,Ct,,Entire,,5,,,2/6/2013
714,,Oakland,Ave,,Entire,,6,,,2/6/2013
3032,,Penway,Ave,,Entire,,3,,,2/7/2013
208,S,28th,St,,Entire,,5,,,2/11/2013
641,,Mix,Ave,,Entire,,6,,,2/11/2013
6658,,Sylvania,Rd,,Entire,,12,,,2/11/2013
329,N,43rd,St,,Entire,,5,,,2/14/2013
4405,,Sunset,Ave,,Entire,,5,,,2/14/2013
400,,Mount Holly,Rd,,Entire,,13,,,2/22/2013
1517,,Gallagher,St,,Entire,,6,,,2/28/2013
2124,W,Madison,St,,Entire,,4,,,2/28/2013
2707,W,Kentucky,St,,Garage,,6,,,3/8/2013
13305,,Forge,Cir,,Entire,,14,,,3/11/2013
3030,,Millers,Lane,,Garage,,3,,,3/14/2013
317,N,20th,St,,Entire,,5,,,3/18/2013
410,S,26th,St,,Entire,,5,,,3/27/2013
1221,,Cypress,St,,Entire,,1,,,4/12/2013
1768,,Dumesnil,St,,Entire,,6,,,4/12/2013
1706,,St Louis,Ave,,Entire,40210,6,Park Hill,,4/12/2013
625,,Mix,Ave,,Entire,,6,,,4/16/2013
1721,,Lytle ,St,,Entire,,5,,,4/18/2013
406,N,20th,St,,Entire,,5,,,4/22/2013
3808,,Pflanz,Ave,,Entire,,5,,,4/22/2013
2723,,Magazine,St,,Entire,,5,,,4/25/2013
700,W,Whitney,Ave,,Entire,,15,,,4/26/2013
1152,,Ellerholt,Ct,,Entire,40211,1,Chickasaw,,5/3/2013
634,S,18th,St,,Entire,40203,4,Russell,,5/9/2013
2413,W,Main,St,,Entire,40212,5,Portland,,5/9/2013
2824,,Slevin,St,,Entire,40212,5,Portland,,5/15/2013
3426,,Hale,Ave,,Entire,40211,1,Chickasaw,,5/16/2013
609,S,39th,St,,Entire,40211,5,Shawnee,,5/22/2013
1418,,Olive,St,,Entire,40210,3,Parkland,,5/22/2013
1271,S,Preston,St,,Entire,40203,4,Shelby Park,,5/22/2013
2531,W,Broadway,,,Entire,40211,6,Russell,,5/31/2013
1520,,Dumesnil,St,,Entire,40210,6,Park Hill,,6/3/2013
3020,,Hale,Ave,,Entire,40211,1,Parkland,,6/4/2013
4328,,Brook ,St,,Entire,40214,15,Wilder Park,,6/5/2013
4330,,Brook ,St,,Entire,40214,15,Wilder Park,,6/5/2013
11007,,Harrison,Lane,,Entire,40118,13,Fairdale,,6/13/2013
603,,South Park,Rd,,Entire,40118,13,Fairdale,,6/13/2013
2011,S,41st,St,,Entire,40211,1,N/A,,6/18/2013
1516,,Hemlock,St,,Entire,40211,3,Park Duvalle,,6/18/2013
1518,,Hemlock,St,,Entire,40211,3,Park Duvalle,,6/18/2013
3712,,Luken,Dr,,Entire,40216,3,Shively,,6/18/2013
1912,,Owen,St,,Entire,40203,5,Portland,,6/18/2013
1713,,Prentice,St,,Entire,40210,6,California,,6/18/2013
407,S,27th,St,,Entire,40212,5,Russell,,6/24/2013
2810,,Duncan,St,,Entire,40212,5,Portland,,6/24/2013
2812,,Duncan,St,,Entire,40212,5,Portland,,6/24/2013
1323,,Cypress,St,,Entire,40211,1,Park Hill,,6/25/2013
1116,,Lillian REAR,Ave,,Garage,40208,6,Taylor Berry,,6/25/2013
2719,,Magazine,St,,Entire,40211,5,Russell,,6/25/2013
4526,,Lake Dreamland,Rd,,Entire,40216,1,Lake Dreamland,,6/26/2013
4532,,Lake Dreamland,Road,,Entire,40216,1,Lake Dreamland,,6/26/2013
219,S,25th,St,,Entire,40212,5,Russell,,6/28/2013
624,,Atwood,St,,Entire,40217,15,St Joseph,,7/22/2013
2334,W,Madison,St,,Garage,40211,4,Russell,,7/22/2013
824,W,Whitney,Ave,,Entire,40215,15,Wyandotte,,7/22/2013
2923,W,Kentucky,St,,Entire,40211,6,Parkland,,7/23/2013
3909,,Bank,St,,Entire,40212,5,Portland,,7/31/2013
2738,,Bank ,St,,Entire,42012,5,Portland,,7/31/2013
2716,W,Madison,St,,Entire,40211,4,Russell,,7/31/2013
639,S,27th,St,,Entire,40211,5,Russell,,8/1/2013
704,W,Whitney ,Ave,,Entire,40215,15,Wyandotte,,8/1/2013
839,,Beecher,St,,Entire,40215,15,Wyandotte,,8/9/2013
3132,,Garland,Ave,,Entire,40211,1,Parkland,,8/9/2013
3138,,Garland,Ave,,Entire,40211,1,Parkland,,8/9/2013
2322,W,Muhammad Ali,Blvd,,Entire,40212,4,Russell,,8/9/2013
220,N,18th,St,,Entire,40203,5,Portland,,8/21/2013
1806,,Lytle ,St,,Entire,40203,5,Portland,,8/21/2013
3118,,Southern,Ave,,Entire,40211,3,Park Duvalle,,8/21/2013
4853,,Cane Run,Rd,,Entire,40216,1,PRP,,8/22/2013
13009,,Ashlawn,Dr,,Garage,40272,14,PRP,,9/3/2013
6507,,Lucerne,Ave,,Entire,40216,1,Lake Dreamland,,9/3/2013
1325,S,28th,St,,Entire,40211,1,Parkland,,9/5/2013
1339,S,32nd,St,,Entire,40211,1,Parkland,,9/5/2013
2211,W,Madison,St,,Entire,40211,4,Russell,,9/5/2013
3708,,Grand,Ave,,Entire,40211,6,Chickasaw,,9/9/2013
1786 1/2,W,Hill,St,,Entire,42010,3,Algonquin,,9/18/2013
3116,W,Jefferson,St,,Entire,40212,5,Russell,,9/18/2013
700,,Winkler,Ave,,Entire,40208,6,South Louisville,,9/18/2013
223,,Bonnie,Lane,,Entire,40218,10,Buechel,,9/26/2013
1340,,Dixie,Hwy,,Entire,40210,6,Park HIll,,9/26/2013
2820,,Garfield,Ave,,Garage,40212,5,Portland,,9/26/2013
3904,W,Main,St,,Entire,40212,5,Shawnee,,9/26/2013
1348,,Dixie,Hwy,,Entire,40210,6,Park HIll,,10/2/2013
1324,,Olive,St,,Entire,40211,1,Parkland,,10/8/2013
647,S,19th,St,,Entire,40203,4,Russell,,10/17/2013
3233,,Grand,Ave,,Entire,40211,1,Parkland,,11/4/2013
3106,,Woodland,Ave,,Entire,40211,1,Park Duvalle,,11/4/2013
504,N,34th,St,,Garage,40212,5,Portland,,11/6/2013
2128,,Chestnut,St,,Entire,40211,4,Russell,,11/20/2013
1428,,Dixie,Hwy,,Entire,40210,3,Park HIll,,12/2/2013
1505,,Hemlock,St,,Entire,40211,3,Park Duvalle,,12/16/2013
1534,,Hemlock,St,,Entire,40211,3,Park Duvalle,,12/16/2013
2627,,Rowan,St,,Entire,40212,5,Portland,,12/16/2013
1938,,Beech,St,,Entire,40210,3,Hallmark,,12/27/2013
2141,,Columbia,St,,Entire,40212,5,Portland,,12/27/2013
1419,,Hemlock,St,,Entire,40211,1,Parkland,,12/27/2013
1501,,Hemlock,St,,Entire,40211,3,Park Duvalle,,12/27/2013
2737,W,Market,St,,Entire,40212,5,Portland,,12/27/2013
2525,,Duncan,St,,Garage,40212,5,Portland,,1/2/2014
1620,,Berry,Blvd,,Entire,40215,15,Jacobs,,1/9/2014
